SEACell_cell_type	metacell_cell_type
cnidocyte	cnidocyte_spirocytes
gastro_circular_muscle_1	gastrodermis
gastro_circular_muscle_2	gastrodermis
gastro_parietal_muscle	gastrodermis
gastro_unknown_1	gastrodermis_muscle_X1
gastro_unknown_2	gastrodermis_muscle_somatic_gonad
muscle_1	muscle
muscle_2	muscle
digestive_filaments_1	digestive_filaments
digestive_filaments_2	digestive_filaments
digestive_filaments_3	digestive_filaments
precursors_1	precursors
precursors_2	precursors
precursors_3	precursors
epidermis_1	epidermis
epidermis_2	epidermis
neuron_GATA_Islet_1	neuron_5_lwamide
neuron_GATA_Islet_2	neuron_13
neuron_GATA_Islet_3	neuron_16_peptidergic
neuron_Pou4_FoxL2_1	neuron_28_motor
neuron_Pou4_FoxL2_2	neuron_28_motor
gland	gland_4
